epoch, errorRate
0,0.513418,
1,0.501332,
2,0.499869,
3,0.499594,
4,0.499573,
5,0.499555,
6,0.499551,
7,0.499544,
8,0.499539,
9,0.499533,
10,0.499528,
11,0.499523,
12,0.499519,
13,0.499514,
14,0.499510,
15,0.499507,
16,0.499504,
17,0.499501,
18,0.499498,
19,0.499496,
20,0.499495,
21,0.499494,
22,0.499494,
23,0.499494,
24,0.499494,
25,0.499496,
26,0.499497,
27,0.499500,
28,0.499503,
29,0.499507,
30,0.499511,
31,0.499516,
32,0.499522,
33,0.499529,
34,0.499536,
35,0.499544,
36,0.499552,
37,0.499562,
38,0.499572,
39,0.499583,
40,0.499595,
41,0.499607,
42,0.499620,
43,0.499634,
44,0.499648,
45,0.499663,
46,0.499679,
47,0.499695,
48,0.499712,
49,0.499730,
50,0.499748,
51,0.499766,
52,0.499785,
53,0.499805,
54,0.499824,
55,0.499844,
56,0.499864,
57,0.499885,
58,0.499905,
59,0.499925,
60,0.499946,
61,0.499966,
62,0.499986,
63,0.500005,
64,0.500025,
65,0.500044,
66,0.500062,
67,0.500079,
68,0.500096,
69,0.500112,
70,0.500128,
71,0.500142,
72,0.500155,
73,0.500166,
74,0.500177,
75,0.500186,
76,0.500193,
77,0.500199,
78,0.500203,
79,0.500205,
80,0.500205,
81,0.500204,
82,0.500200,
83,0.500193,
84,0.500185,
85,0.500174,
86,0.500160,
87,0.500144,
88,0.500124,
89,0.500103,
90,0.500078,
91,0.500050,
92,0.500018,
93,0.499984,
94,0.499946,
95,0.499905,
96,0.499860,
97,0.499812,
98,0.499760,
99,0.499704,
100,0.499644,
101,0.499580,
102,0.499513,
103,0.499441,
104,0.499364,
105,0.499284,
106,0.499199,
107,0.499110,
108,0.499016,
109,0.498917,
110,0.498813,
111,0.498705,
112,0.498592,
113,0.498474,
114,0.498351,
115,0.498222,
116,0.498089,
117,0.497950,
118,0.497805,
119,0.497656,
120,0.497500,
121,0.497339,
122,0.497172,
123,0.497000,
124,0.496821,
125,0.496637,
126,0.496447,
127,0.496250,
128,0.496047,
129,0.495838,
130,0.495623,
131,0.495401,
132,0.495173,
133,0.494938,
134,0.494696,
135,0.494448,
136,0.494192,
137,0.493930,
138,0.493661,
139,0.493385,
140,0.493102,
141,0.492812,
142,0.492514,
143,0.492209,
144,0.491897,
145,0.491577,
146,0.491249,
147,0.490915,
148,0.490572,
149,0.490222,
150,0.489864,
151,0.489498,
152,0.489124,
153,0.488742,
154,0.488353,
155,0.487955,
156,0.487549,
157,0.487135,
158,0.486713,
159,0.486282,
160,0.485844,
161,0.485397,
162,0.484941,
163,0.484477,
164,0.484005,
165,0.483524,
166,0.483035,
167,0.482537,
168,0.482031,
169,0.481516,
170,0.480992,
171,0.480460,
172,0.479919,
173,0.479369,
174,0.478811,
175,0.478244,
176,0.477668,
177,0.477083,
178,0.476490,
179,0.475888,
180,0.475277,
181,0.474658,
182,0.474029,
183,0.473392,
184,0.472747,
185,0.472092,
186,0.471429,
187,0.470757,
188,0.470077,
189,0.469387,
190,0.468690,
191,0.467983,
192,0.467268,
193,0.466545,
194,0.465813,
195,0.465073,
196,0.464324,
197,0.463567,
198,0.462801,
199,0.462027,
200,0.461245,
201,0.460455,
202,0.459657,
203,0.458851,
204,0.458037,
205,0.457214,
206,0.456384,
207,0.455547,
208,0.454701,
209,0.453848,
210,0.452987,
211,0.452119,
212,0.451244,
213,0.450361,
214,0.449471,
215,0.448574,
216,0.447670,
217,0.446758,
218,0.445840,
219,0.444916,
220,0.443984,
221,0.443046,
222,0.442102,
223,0.441151,
224,0.440194,
225,0.439230,
226,0.438261,
227,0.437286,
228,0.436305,
229,0.435318,
230,0.434325,
231,0.433327,
232,0.432324,
233,0.431315,
234,0.430302,
235,0.429283,
236,0.428259,
237,0.427231,
238,0.426197,
239,0.425160,
240,0.424117,
241,0.423071,
242,0.422020,
243,0.420965,
244,0.419906,
245,0.418843,
246,0.417777,
247,0.416707,
248,0.415633,
249,0.414556,
250,0.413476,
251,0.412393,
252,0.411306,
253,0.410217,
254,0.409125,
255,0.408030,
256,0.406933,
257,0.405833,
258,0.404731,
259,0.403627,
260,0.402521,
261,0.401412,
262,0.400302,
263,0.399190,
264,0.398077,
265,0.396962,
266,0.395845,
267,0.394728,
268,0.393609,
269,0.392489,
270,0.391368,
271,0.390246,
272,0.389123,
273,0.388000,
274,0.386876,
275,0.385752,
276,0.384627,
277,0.383502,
278,0.382377,
279,0.381252,
280,0.380127,
281,0.379002,
282,0.377877,
283,0.376753,
284,0.375629,
285,0.374505,
286,0.373382,
287,0.372260,
288,0.371139,
289,0.370018,
290,0.368898,
291,0.367779,
292,0.366662,
293,0.365545,
294,0.364430,
295,0.363316,
296,0.362203,
297,0.361092,
298,0.359982,
299,0.358874,
300,0.357768,
301,0.356663,
302,0.355561,
303,0.354460,
304,0.353361,
305,0.352264,
306,0.351169,
307,0.350076,
308,0.348985,
309,0.347897,
310,0.346811,
311,0.345727,
312,0.344646,
313,0.343567,
314,0.342490,
315,0.341417,
316,0.340345,
317,0.339277,
318,0.338211,
319,0.337148,
320,0.336088,
321,0.335030,
322,0.333975,
323,0.332924,
324,0.331875,
325,0.330829,
326,0.329786,
327,0.328747,
328,0.327710,
329,0.326677,
330,0.325646,
331,0.324619,
332,0.323595,
333,0.322575,
334,0.321557,
335,0.320543,
336,0.319533,
337,0.318525,
338,0.317521,
339,0.316521,
340,0.315524,
341,0.314530,
342,0.313540,
343,0.312553,
344,0.311570,
345,0.310591,
346,0.309614,
347,0.308642,
348,0.307673,
349,0.306708,
350,0.305746,
351,0.304788,
352,0.303834,
353,0.302883,
354,0.301936,
355,0.300993,
356,0.300053,
357,0.299117,
358,0.298185,
359,0.297256,
360,0.296331,
361,0.295410,
362,0.294493,
363,0.293579,
364,0.292669,
365,0.291763,
366,0.290861,
367,0.289962,
368,0.289067,
369,0.288176,
370,0.287288,
371,0.286405,
372,0.285525,
373,0.284649,
374,0.283777,
375,0.282908,
376,0.282043,
377,0.281182,
378,0.280325,
379,0.279471,
380,0.278621,
381,0.277775,
382,0.276933,
383,0.276095,
384,0.275260,
385,0.274429,
386,0.273601,
387,0.272778,
388,0.271958,
389,0.271141,
390,0.270329,
391,0.269520,
392,0.268715,
393,0.267913,
394,0.267115,
395,0.266321,
396,0.265531,
397,0.264744,
398,0.263960,
399,0.263181,
400,0.262405,
401,0.261632,
402,0.260864,
403,0.260098,
404,0.259337,
405,0.258578,
406,0.257824,
407,0.257073,
408,0.256325,
409,0.255581,
410,0.254841,
411,0.254104,
412,0.253370,
413,0.252640,
414,0.251914,
415,0.251191,
416,0.250471,
417,0.249755,
418,0.249042,
419,0.248332,
420,0.247626,
421,0.246924,
422,0.246224,
423,0.245528,
424,0.244836,
425,0.244146,
426,0.243460,
427,0.242777,
428,0.242098,
429,0.241422,
430,0.240749,
431,0.240079,
432,0.239412,
433,0.238749,
434,0.238089,
435,0.237432,
436,0.236778,
437,0.236127,
438,0.235480,
439,0.234835,
440,0.234194,
441,0.233556,
442,0.232921,
443,0.232289,
444,0.231660,
445,0.231034,
446,0.230411,
447,0.229791,
448,0.229174,
449,0.228560,
450,0.227948,
451,0.227340,
452,0.226735,
453,0.226133,
454,0.225534,
455,0.224937,
456,0.224344,
457,0.223753,
458,0.223165,
459,0.222580,
460,0.221998,
461,0.221418,
462,0.220841,
463,0.220268,
464,0.219696,
465,0.219128,
466,0.218562,
467,0.217999,
468,0.217439,
469,0.216882,
470,0.216327,
471,0.215774,
472,0.215225,
473,0.214678,
474,0.214134,
475,0.213592,
476,0.213053,
477,0.212516,
478,0.211982,
479,0.211450,
480,0.210922,
481,0.210395,
482,0.209871,
483,0.209350,
484,0.208831,
485,0.208314,
486,0.207800,
487,0.207288,
488,0.206779,
489,0.206272,
490,0.205768,
491,0.205266,
492,0.204766,
493,0.204269,
494,0.203774,
495,0.203281,
496,0.202791,
497,0.202303,
498,0.201817,
499,0.201334,
500,0.200853,
501,0.200374,
502,0.199897,
503,0.199423,
504,0.198950,
505,0.198480,
506,0.198013,
507,0.197547,
508,0.197083,
509,0.196622,
510,0.196163,
511,0.195706,
512,0.195251,
513,0.194798,
514,0.194347,
515,0.193898,
516,0.193451,
517,0.193007,
518,0.192564,
519,0.192124,
520,0.191685,
521,0.191249,
522,0.190814,
523,0.190382,
524,0.189951,
525,0.189523,
526,0.189096,
527,0.188671,
528,0.188248,
529,0.187828,
530,0.187409,
531,0.186992,
532,0.186576,
533,0.186163,
534,0.185752,
535,0.185342,
536,0.184934,
537,0.184528,
538,0.184124,
539,0.183722,
540,0.183321,
541,0.182923,
542,0.182526,
543,0.182131,
544,0.181737,
545,0.181346,
546,0.180956,
547,0.180567,
548,0.180181,
549,0.179796,
550,0.179413,
551,0.179032,
552,0.178652,
553,0.178274,
554,0.177898,
555,0.177523,
556,0.177150,
557,0.176778,
558,0.176409,
559,0.176040,
560,0.175674,
561,0.175309,
562,0.174945,
563,0.174583,
564,0.174223,
565,0.173864,
566,0.173507,
567,0.173152,
568,0.172797,
569,0.172445,
570,0.172094,
571,0.171744,
572,0.171396,
573,0.171049,
574,0.170704,
575,0.170361,
576,0.170018,
577,0.169678,
578,0.169338,
579,0.169000,
580,0.168664,
581,0.168329,
582,0.167995,
583,0.167663,
584,0.167332,
585,0.167003,
586,0.166675,
587,0.166348,
588,0.166023,
589,0.165699,
590,0.165376,
591,0.165055,
592,0.164735,
593,0.164417,
594,0.164099,
595,0.163783,
596,0.163469,
597,0.163155,
598,0.162843,
599,0.162533,
600,0.162223,
601,0.161915,
602,0.161608,
603,0.161302,
604,0.160998,
605,0.160694,
606,0.160392,
607,0.160092,
608,0.159792,
609,0.159494,
610,0.159197,
611,0.158901,
612,0.158606,
613,0.158312,
614,0.158020,
615,0.157729,
616,0.157439,
617,0.157150,
618,0.156862,
619,0.156575,
620,0.156290,
621,0.156006,
622,0.155722,
623,0.155440,
624,0.155159,
625,0.154879,
626,0.154601,
627,0.154323,
628,0.154046,
629,0.153771,
630,0.153497,
631,0.153223,
632,0.152951,
633,0.152680,
634,0.152410,
635,0.152141,
636,0.151873,
637,0.151606,
638,0.151340,
639,0.151075,
640,0.150811,
641,0.150548,
642,0.150286,
643,0.150025,
644,0.149765,
645,0.149506,
646,0.149248,
647,0.148991,
648,0.148735,
649,0.148480,
650,0.148226,
651,0.147973,
652,0.147721,
653,0.147470,
654,0.147220,
655,0.146971,
656,0.146722,
657,0.146475,
658,0.146229,
659,0.145983,
660,0.145739,
661,0.145495,
662,0.145252,
663,0.145010,
664,0.144769,
665,0.144529,
666,0.144290,
667,0.144052,
668,0.143814,
669,0.143578,
670,0.143342,
671,0.143107,
672,0.142873,
673,0.142640,
674,0.142408,
675,0.142176,
676,0.141946,
677,0.141716,
678,0.141487,
679,0.141259,
680,0.141032,
681,0.140805,
682,0.140580,
683,0.140355,
684,0.140131,
685,0.139908,
686,0.139686,
687,0.139464,
688,0.139243,
689,0.139023,
690,0.138804,
691,0.138586,
692,0.138368,
693,0.138151,
694,0.137935,
695,0.137720,
696,0.137505,
697,0.137291,
698,0.137078,
699,0.136866,
700,0.136654,
701,0.136443,
702,0.136233,
703,0.136024,
704,0.135815,
705,0.135607,
706,0.135400,
707,0.135194,
708,0.134988,
709,0.134783,
710,0.134579,
711,0.134375,
712,0.134172,
713,0.133970,
714,0.133768,
715,0.133567,
716,0.133367,
717,0.133168,
718,0.132969,
719,0.132771,
720,0.132573,
721,0.132377,
722,0.132181,
723,0.131985,
724,0.131790,
725,0.131596,
726,0.131403,
727,0.131210,
728,0.131018,
729,0.130826,
730,0.130636,
731,0.130445,
732,0.130256,
733,0.130067,
734,0.129878,
735,0.129691,
736,0.129504,
737,0.129317,
738,0.129131,
739,0.128946,
740,0.128761,
741,0.128577,
742,0.128394,
743,0.128211,
744,0.128029,
745,0.127847,
746,0.127666,
747,0.127486,
748,0.127306,
749,0.127127,
750,0.126948,
751,0.126770,
752,0.126593,
753,0.126416,
754,0.126239,
755,0.126064,
756,0.125888,
757,0.125714,
758,0.125540,
759,0.125366,
760,0.125193,
761,0.125021,
762,0.124849,
763,0.124677,
764,0.124507,
765,0.124336,
766,0.124167,
767,0.123997,
768,0.123829,
769,0.123661,
770,0.123493,
771,0.123326,
772,0.123160,
773,0.122994,
774,0.122828,
775,0.122663,
776,0.122499,
777,0.122335,
778,0.122171,
779,0.122009,
780,0.121846,
781,0.121684,
782,0.121523,
783,0.121362,
784,0.121202,
785,0.121042,
786,0.120882,
787,0.120723,
788,0.120565,
789,0.120407,
790,0.120249,
791,0.120092,
792,0.119936,
793,0.119780,
794,0.119624,
795,0.119469,
796,0.119315,
797,0.119161,
798,0.119007,
799,0.118854,
800,0.118701,
801,0.118549,
802,0.118397,
803,0.118245,
804,0.118095,
805,0.117944,
806,0.117794,
807,0.117645,
808,0.117495,
809,0.117347,
810,0.117199,
811,0.117051,
812,0.116903,
813,0.116756,
814,0.116610,
815,0.116464,
816,0.116318,
817,0.116173,
818,0.116028,
819,0.115884,
